DateDhwTank1Temp,DhwTank1Temp,DateDhwTank2Temp,DhwTank2Temp,DateDomHwSuplTemp,DomHwSuplTemp,DateHwRtnTemp,HwRtnTemp,DateHwSuplTemp,HwSuplTemp,DateDhwRtnTemp,DhwRtnTemp
2018-12-29T07:15:00.078-05:00,131.450119019,2018-12-29T07:15:00.090-05:00,131.367401123,2018-12-29T07:15:00.140-05:00,127.167884827,2018-12-29T07:15:00.066-05:00,163.629760742,2018-12-29T07:15:00.055-05:00,173.215682983,2018-12-29T07:30:00.174-05:00,115.37348937988281
2018-12-29T07:30:00.080-05:00,132.027618408,2018-12-29T07:30:00.091-05:00,131.780441284,2018-12-29T07:30:00.145-05:00,128.39491272,2018-12-29T07:30:00.068-05:00,165.082687378,2018-12-29T07:30:00.056-05:00,172.517227173,2018-12-29T07:45:00.157-05:00,115.64069366455078
2018-12-29T07:45:00.073-05:00,132.109909058,2018-12-29T07:45:00.084-05:00,131.780441284,2018-12-29T07:45:00.134-05:00,128.857910156,2018-12-29T07:45:00.061-05:00,158.794677734,2018-12-29T07:45:00.049-05:00,174.606689453,2018-12-29T08:00:00.169-05:00,114.90406036376953
2018-12-29T08:00:00.085-05:00,131.697937012,2018-12-29T08:00:00.096-05:00,131.036010742,2018-12-29T08:00:00.146-05:00,118.012069702,2018-12-29T08:00:00.073-05:00,153.406417847,2018-12-29T08:00:00.062-05:00,171.95703125,2018-12-29T08:15:00.177-05:00,110.92799377441406
2018-12-29T08:15:00.091-05:00,130.685913086,2018-12-29T08:15:00.103-05:00,131.284622192,2018-12-29T08:15:00.153-05:00,122.271011353,2018-12-29T08:15:00.080-05:00,164.889694214,2018-12-29T08:15:00.068-05:00,173.91217041,2018-12-29T08:30:00.169-05:00,110.54376983642578
2018-12-29T08:30:00.084-05:00,129.719543457,2018-12-29T08:30:00.095-05:00,129.719543457,2018-12-29T08:30:00.145-05:00,119.560287476,2018-12-29T08:30:00.072-05:00,162.262298584,2018-12-29T08:30:00.060-05:00,172.936523438,2018-12-29T08:45:00.157-05:00,110.25413513183594
2018-12-29T08:45:00.070-05:00,128.684570312,2018-12-29T08:45:00.082-05:00,128.39491272,2018-12-29T08:45:00.132-05:00,122.704811096,2018-12-29T08:45:00.058-05:00,163.240188599,2018-12-29T08:45:00.047-05:00,174.190200806,2018-12-29T09:00:00.162-05:00,110.97586059570312
2018-12-29T09:00:00.077-05:00,127.987792969,2018-12-29T09:00:00.088-05:00,127.461578369,2018-12-29T09:00:00.138-05:00,112.067390442,2018-12-29T09:00:00.065-05:00,164.599777222,2018-12-29T09:00:00.054-05:00,172.237289429,2018-12-29T09:15:00.155-05:00,106.37019348144531
2018-12-29T09:15:00.071-05:00,126.932228088,2018-12-29T09:15:00.082-05:00,126.991203308,2018-12-29T09:15:00.132-05:00,108.786743164,2018-12-29T09:15:00.058-05:00,164.212432861,2018-12-29T09:15:00.047-05:00,170.409973145,2018-12-29T09:30:00.170-05:00,103.17060852050781
2018-12-29T09:30:00.085-05:00,124.903663635,2018-12-29T09:30:00.097-05:00,125.565002441,2018-12-29T09:30:00.147-05:00,115.172592163,2018-12-29T09:30:00.074-05:00,166.523147583,2018-12-29T09:30:00.063-05:00,174.190200806,2018-12-29T09:45:00.158-05:00,104.81513977050781
2018-12-29T09:45:00.072-05:00,122.704811096,2018-12-29T09:45:00.084-05:00,123.075004578,2018-12-29T09:45:00.134-05:00,111.973182678,2018-12-29T09:45:00.061-05:00,164.50302124,2018-12-29T09:45:00.049-05:00,175.160903931,2018-12-29T10:00:00.161-05:00,102.95555877685547
2018-12-29T10:00:00.076-05:00,121.208847046,2018-12-29T10:00:00.087-05:00,120.957130432,2018-12-29T10:00:00.137-05:00,106.829902649,2018-12-29T10:00:00.064-05:00,162.360351562,2018-12-29T10:00:00.053-05:00,170.97366333,2018-12-29T10:15:00.162-05:00,100.6568832397461
2018-12-29T10:15:00.078-05:00,119.368156433,2018-12-29T10:15:00.090-05:00,119.688140869,2018-12-29T10:15:00.139-05:00,110.060340881,2018-12-29T10:15:00.067-05:00,162.262298584,2018-12-29T10:15:00.055-05:00,175.713882446,2018-12-29T10:30:00.160-05:00,100.82357788085938
2018-12-29T10:30:00.075-05:00,118.336746216,2018-12-29T10:30:00.086-05:00,118.918319702,2018-12-29T10:30:00.137-05:00,108.638214111,2018-12-29T10:30:00.063-05:00,165.082687378,2018-12-29T10:30:00.052-05:00,174.190200806,2018-12-29T10:45:00.173-05:00,100.8790512084961
2018-12-29T10:45:00.087-05:00,118.660293579,2018-12-29T10:45:00.098-05:00,118.466293335,2018-12-29T10:45:00.150-05:00,109.033554077,2018-12-29T10:45:00.075-05:00,165.371780396,2018-12-29T10:45:00.063-05:00,171.81678772,2018-12-29T11:00:00.182-05:00,100.6568832397461
2018-12-29T11:00:00.090-05:00,118.595672607,2018-12-29T11:00:00.101-05:00,118.077095032,2018-12-29T11:00:00.151-05:00,107.538887024,2018-12-29T11:00:00.078-05:00,165.660354614,2018-12-29T11:00:00.066-05:00,174.745361328,2018-12-29T11:15:00.157-05:00,100.32232666015625
2018-12-29T11:15:00.073-05:00,118.660293579,2018-12-29T11:15:00.085-05:00,118.466293335,2018-12-29T11:15:00.134-05:00,105.958938599,2018-12-29T11:15:00.062-05:00,163.921340942,2018-12-29T11:15:00.050-05:00,173.215682983,2018-12-29T11:30:00.159-05:00,100.21045684814453
2018-12-29T11:30:00.074-05:00,118.271896362,2018-12-29T11:30:00.085-05:00,118.336746216,2018-12-29T11:30:00.135-05:00,107.083961487,2018-12-29T11:30:00.063-05:00,164.406219482,2018-12-29T11:30:00.051-05:00,170.832870483,2018-12-29T11:45:00.177-05:00,98.9112319946289
2018-12-29T11:45:00.089-05:00,117.555625916,2018-12-29T11:45:00.100-05:00,117.228233337,2018-12-29T11:45:00.150-05:00,106.728012085,2018-12-29T11:45:00.077-05:00,165.371780396,2018-12-29T11:45:00.066-05:00,174.883956909,2018-12-29T12:00:00.162-05:00,99.70486450195312
2018-12-29T12:00:00.078-05:00,117.62097168,2018-12-29T12:00:00.089-05:00,118.012069702,2018-12-29T12:00:00.139-05:00,111.309989929,2018-12-29T12:00:00.066-05:00,165.660354614,2018-12-29T12:00:00.055-05:00,177.776535034,2018-12-29T12:15:01.146-05:00,102.1976318359375
2018-12-29T12:15:01.061-05:00,117.359329224,2018-12-29T12:15:01.072-05:00,117.162612915,2018-12-29T12:15:01.123-05:00,107.134658813,2018-12-29T12:15:01.049-05:00,163.921340942,2018-12-29T12:15:01.038-05:00,176.127807617,2018-12-29T12:30:00.173-05:00,99.87379455566406
2018-12-29T12:30:00.085-05:00,117.686271667,2018-12-29T12:30:00.097-05:00,117.75151825,2018-12-29T12:30:00.149-05:00,107.589248657,2018-12-29T12:30:00.073-05:00,164.309356689,2018-12-29T12:30:00.060-05:00,173.355133057,2018-12-29T12:45:00.169-05:00,98.7971420288086
2018-12-29T12:45:00.080-05:00,117.228233337,2018-12-29T12:45:00.092-05:00,117.424812317,2018-12-29T12:45:00.144-05:00,103.864997864,2018-12-29T12:45:00.069-05:00,164.986221313,2018-12-29T12:45:00.057-05:00,174.467941284,2018-12-29T13:00:00.204-05:00,97.61418151855469
2018-12-29T13:00:00.077-05:00,116.305419922,2018-12-29T13:00:00.088-05:00,116.437797546,2018-12-29T13:00:00.160-05:00,107.387588501,2018-12-29T13:00:00.065-05:00,164.986221313,2018-12-29T13:00:00.053-05:00,175.713882446,2018-12-29T13:15:00.175-05:00,99.13887786865234
2018-12-29T13:15:00.086-05:00,115.774009705,2018-12-29T13:15:00.097-05:00,116.106491089,2018-12-29T13:15:00.150-05:00,110.543769836,2018-12-29T13:15:00.074-05:00,164.50302124,2018-12-29T13:15:00.063-05:00,175.98991394,2018-12-29T13:30:00.159-05:00,100.21045684814453
2018-12-29T13:30:00.074-05:00,116.371635437,2018-12-29T13:30:00.086-05:00,116.305419922,2018-12-29T13:30:00.136-05:00,109.963226318,2018-12-29T13:30:00.063-05:00,164.406219482,2018-12-29T13:30:00.051-05:00,173.494506836,2018-12-29T13:45:00.176-05:00,100.21045684814453
2018-12-29T13:45:00.088-05:00,116.239151001,2018-12-29T13:45:00.099-05:00,115.973632812,2018-12-29T13:45:00.149-05:00,108.588630676,2018-12-29T13:45:00.076-05:00,164.309356689,2018-12-29T13:45:00.065-05:00,173.91217041,2018-12-29T14:00:00.165-05:00,100.43402099609375
2018-12-29T14:00:00.080-05:00,117.03125,2018-12-29T14:00:00.091-05:00,117.162612915,2018-12-29T14:00:00.141-05:00,106.677009583,2018-12-29T14:00:00.068-05:00,165.179107666,2018-12-29T14:00:00.056-05:00,175.713882446,2018-12-29T14:15:00.167-05:00,100.54553985595703
2018-12-29T14:15:00.082-05:00,117.424812317,2018-12-29T14:15:00.093-05:00,117.424812317,2018-12-29T14:15:00.143-05:00,105.389419556,2018-12-29T14:15:00.070-05:00,164.50302124,2018-12-29T14:15:00.058-05:00,176.265625,2018-12-29T14:30:00.155-05:00,100.71249389648438
2018-12-29T14:30:00.070-05:00,117.555625916,2018-12-29T14:30:00.082-05:00,117.03125,2018-12-29T14:30:00.132-05:00,108.786743164,2018-12-29T14:30:00.059-05:00,164.986221313,2018-12-29T14:30:00.047-05:00,173.633804321,2018-12-29T14:45:00.159-05:00,100.6568832397461
2018-12-29T14:45:00.075-05:00,117.75151825,2018-12-29T14:45:00.086-05:00,117.881889343,2018-12-29T14:45:00.136-05:00,107.890617371,2018-12-29T14:45:00.063-05:00,165.082687378,2018-12-29T14:45:00.052-05:00,174.051223755,2018-12-29T15:00:00.170-05:00,100.8790512084961
2018-12-29T15:00:00.085-05:00,117.947006226,2018-12-29T15:00:00.097-05:00,118.012069702,2018-12-29T15:00:00.146-05:00,112.489608765,2018-12-29T15:00:00.074-05:00,165.468017578,2018-12-29T15:00:00.062-05:00,175.575759888,2018-12-29T15:15:00.172-05:00,102.08868408203125
2018-12-29T15:15:00.087-05:00,118.207008362,2018-12-29T15:15:00.099-05:00,118.207008362,2018-12-29T15:15:00.148-05:00,111.166999817,2018-12-29T15:15:00.076-05:00,164.406219482,2018-12-29T15:15:00.064-05:00,176.541030884,2018-12-29T15:30:00.034-05:00,102.95555877685547
